t,,国际标准情商测试,这是欧洲流行的测试题，可口可乐公司、麦当劳公司、诺基亚公司等世界500强众多企业，曾以此作为员工EQ测试的模板，以帮助员工了解自己的EQ状况,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,EQ测试结果,0,情商低,90,情商一般,130,情商高,150,情商超高,,,,,,,,,,,,,,,,,,,,,,,,,
s,1,我有能力克服各种困难,6,是的,3,不一定,0,不是的,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,2,如果我能到一个新的环境，我要把生活安排得,6,和从前相仿,3,不一定,0,和从前不一样,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,3,一生中，我觉得自已能达到我所预想的目标,6,是的,3,不一定,0,不是的,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,4,不知为什么，有些人总是回避或冷淡我,6,不是的,3,不一定,0,是的,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,5,在大街上，我常常避开我不愿打招呼的人,6,从未如此,3,偶然如此,0,有时如此,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,6,当我集中精力工作时，假使有人在旁边高谈阔论,6,我仍能用心工作,3,介于A和C之间,0,我不能专心且感到愤怒,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,7,我不论到什么地方，都能清晰地辨别方向,6,是的,3,不一定,0,不是的,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,8,我热爱所学的专业和所从事的工作,6,是的,3,不一定,0,不是的,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,9,气候的变化不会影响我的情绪,6,是的,3,介于A和C之间 ,0,不是的,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,10,我从不因流言蜚语而气愤,5,是的,2,不太确定,0,不是的,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,11,我善于控制自己的面部表情,5,极易入睡,2,介于A和C之间,0,不易入睡,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,12,在就寝时，我常常,5,不露声色,2,介于A和C之间,0,大声抗议，以泄己愤,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,13,有人侵扰我时，我,5,不是的,2,介于A和C之前,0,是的,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,14,在和人争辨或工作出现失误后，我常常感到震颤，精疲力竭，而不能继承安心工作,5,不是的,2,介于A和C之间,0,是的,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,15,我常常被一些无谓的小事困扰,5,不是的,2,不太确定,0,是的,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,16,我宁愿住在僻静的郊区，也不愿住在嘈杂的市区,5,从来没有,2,偶尔有过,0,这是常有的事,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,17,我被朋友、同事起过绰号、讥讽过,5,没有,2,记不清,0,有,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,18,有一种食物使我吃后呕吐,5,没有,2,记不清,0,有,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,19,除去看见的世界外，我的心中没有另外的世界,5,从来没有想过,2,偶尔想到过,0,经常想到,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,20,我会想到若干年后有什么使自己极为不安的事,5,否,2,说不清楚,0,是,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,21,我常常觉得自己的家庭对自己不好，但是我又确切地认识他们的确对我好,5,否,2,偶尔是,0,是,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,22,天天我一回家就马上把门关上,5,否,2,偶尔是,0,是,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,23,我坐在小房间里把门关上，但我仍觉得心里不安,5,否,2,偶尔是,0,是,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,24,当一件事需要我作决定时，我常觉得很难,5,否,2,偶尔是,0,是,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,25,我常常用抛硬币、翻纸、抽签之类的游戏来猜测凶吉,5,否,2,偶尔是,0,是,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,26,为了工作我早出晚归，早晨起床我常常感到疲劳不堪,0,是,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,27,在某种心境下我会因为困惑陷入空想将工作搁置下来,0,是,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,28,我的神经脆弱稍有刺激就会使我战栗,0,是,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,29,睡梦中我常常被噩梦惊醒,0,是,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,30,工作中我愿意挑战艰巨的任务,1,从不,2,几乎不,3,一半时间,4,大多数时间,5,总是,,,,,,,,,,,,,,,,,,,,,,,
s,31,我常发现别人好的意愿,1,从不,2,几乎不,3,一半时间,4,大多数时间,5,总是,,,,,,,,,,,,,,,,,,,,,,,
s,32,能听取不同的意见，包括对自己的批评,1,从不,2,几乎不,3,一半时间,4,大多数时间,5,总是,,,,,,,,,,,,,,,,,,,,,,,
s,33,我时常勉励自己，对未来布满希望,1,从不,2,几乎不,3,一半时间,4,大多数时间,5,总是,,,,,,,,,,,,,,,,,,,,,,,
t,,Psycho-cat测试,用于说明和测试Psycho-cat的基本功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,是否通过,0,否,5,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,1,单选选项中可以加入图片,1,普通文字,2,![example/2.jpg],3,![example/3.jpg]图片加文字,4,<html> escape,,,,,,,,,,,,,,,,,,,,,,,,,
m,2,"多选举例,题目也可以加入图片 ![example/1.jpg]，模板中s = 单选， m = 多选， t = 测试组标题",4,![example/1.jpg],3,![example/2.jpg],2,![example/3.jpg],1,![example/4.jpg],,,,,,,,,,,,,,,,,,,,,,,,,
