Type,Question,Option A,Score A,Option B,Score B,Option C,Score C,Option D,Score D,Option E,Score E,Option F,Score F,Option G,Score G,Option H,Score H,Option I,Score I
sc,"Over the last 2 weeks, how often have you been [r] [b] Feeling nervous, anxious or on edge ? [/b]",Not at all,5,Several days,3,More than half the days,1,Nearly every day,0,,,,,,,,,,
sc,"Over the last 2 weeks, how often have you been [r] [b] Not being able to stop or control worrying ? [/b]",Not at all,5,Several days,3,More than half the days,1,Nearly every day,0,,,,,,,,,,
sc,"Over the last 2 weeks, how often have you been [r] [b] Worrying too much about different things ? [/b]",Not at all,5,Several days,3,More than half the days,1,Nearly every day,0,,,,,,,,,,
sc,"Over the last 2 weeks, how often have you been [r] [b] Having trouble relaxing ? [/b]",Not at all,5,Several days,3,More than half the days,1,Nearly every day,0,,,,,,,,,,
sc,"Over the last 2 weeks, how often have you been [r] [b] Being so restless that it is hard to sit still ? [/b]",Not at all,5,Several days,3,More than half the days,1,Nearly every day,0,,,,,,,,,,
sc,"Over the last 2 weeks, how often have you been [r] [b] Becoming easily annoyed or irritable ? [/b]",Not at all,5,Several days,3,More than half the days,1,Nearly every day,0,,,,,,,,,,
sc,"Over the last 2 weeks, how often have you been [r] [b] Feeling afraid as if something awful might happen ? [/b]",Not at all,5,Several days,3,More than half the days,1,Nearly every day,0,,,,,,,,,,
sc,"[img]q_1.png[/img] [r] According to (1) and (2), [u](3) should be [/u] ? ",[img]q_1_A.png[/img],5,[img]q_1_B.png[/img],3,[img]q_1_C.png[/img],1,[img]q_1_D.png[/img],0,[img]q_1_E.png[/img],3,,,,,,,,
sc,[img]q_2.jpg[/img] [r] [i] Fill the blue spot with ? [/i] ?,[img]q_2_A.jpg[/img],5,[img]q_2_B.jpg[/img],3,[img]q_2_C.jpg[/img],3,[img]q_2_D.jpg[/img],4,[img]q_2_E.jpg[/img],3,[img]q_2_F.jpg[/img],1,[img]q_2_G.jpg[/img],2,[img]q_2_H.jpg[/img],1,,
mc,What fruit do you like ?,Apple,1,Orange,1,Banana,10,Cucumber,10,Durian,2,Eggplant,10,Carrot,10,Papaya,0,Justin Biber,-100
mc,What restaurant do you like ?,Just give me junk food then I will be happy,-2,·ñ,,²»È·¶¨,,,,,,,,,,,,,
